Actual,Forecast
11162.0,21602.66
9050.0,19587.145
8543.0,17534.975
8459.0,17041.787
7807.0,16960.055
4108.0,16325.46
1760.0,12718.511
637409.0,10423.046
6608.0,468928.56
17320.0,15157.54
38575.0,25549.55
16903.0,45887.62
35243.0,25146.791
32802.0,42724.133
38476.0,40400.754
30287.0,45793.742
29002.0,38001.754
21310.0,36773.99
31428.0,29396.014
25263.0,39090.773
17514.0,33193.76
18713.0,25736.877
21369.0,26893.938
21441.0,29452.791
23330.0,29522.074
29465.0,31338.299
72009.0,37216.523
34354.0,77120.695
145270.0,41878.543
186024.0,142323.05
538410.0,176678.33
569614.0,418184.34
1029518.0,434951.4
1953667.0,604725.6
3057604.0,626529.8
31473.0,421573.72
642725.0,39133.707
520986.0,471453.0
220736.0,408507.16
95257.0,204866.58
85567.0,98292.19
57046.0,89522.12
39888.0,63257.32
34755.0,47131.68
530740.0,42260.05
57111.0,413952.38
9666.0,63317.945
2531.0,18133.9
3521.0,11177.294
3854.0,12145.077
5338.0,12470.415
6243.0,13919.16
6542.0,14801.764
12664.0,15093.216
1032.0,21044.338
7409.0,9710.406
7984.0,15937.903
12594.0,16497.771
17270.0,20976.475
19319.0,25501.266
20717.0,27478.283
22558.0,28825.182
22124.0,30596.402
10738.0,30179.102
23359.0,19175.45
21942.0,31366.166
8382.0,30004.068
3315.0,16885.13
7684.0,11943.764
6936.0,16205.702
5520.0,15477.153
23661.0,14096.711
3119.0,31656.252
3006.0,11752.195
2452.0,11641.741
3278319.0,11100.034
2111235.0,376471.53
904.0,604732.5
7788.0,9585.06
29661.0,16306.957
45563.0,37403.805
622611.0,52492.246
211608.0,461795.2
598734.0,197549.48
37026.0,449953.5
1110378.0,44418.1
608351.0,621170.75
513130.0,454772.44
492346.0,404069.72
159575.0,392105.84
64313.0,154537.56
200638.0,70013.46
89920.0,188665.81
81461.0,93471.48
67111.0,85782.445
28045.0,72603.09
1770074.0,35858.74
939509.0,645312.1
2790598.0,582080.56
24222.0,477077.12
513448.0,32194.906
469601.0,404250.22
449360.0,378638.25
187122.0,366321.25
71717.0,177585.08
60153.0,76851.945
52803.0,66151.25
40750.0,59292.33
30022.0,47947.64
28888.0,37748.66
563598.0,36665.0
24111.0,431774.75
13571.0,32088.355
19866.0,21923.38
964.0,28005.486
2313.0,9643.817
2362.0,10964.088
2509.0,11012.013
4041.0,11155.791
20228.0,12653.069
5807.0,28354.238
160160.0,14376.639
5762.0,155033.5
49641.0,14332.757
6382.0,56327.81
7069.0,14937.264
7082.0,15606.735
7907.0,15619.395
16700.0,16422.807
17900.0,24950.666
129317.0,26109.506
29004.0,128502.5
27549.0,36775.9
26842.0,35384.08
25360.0,34707.13
21794.0,33286.8
19562.0,29861.705
18994.0,27712.516
5838.0,27164.943
15954.0,14406.871
14213.0,24229.656
11767.0,22545.174
10797.0,20174.322
7877.0,19232.748
7721.0,16393.607
7095.0,16241.726
37264.0,15632.059
17054.0,44644.02
62012.0,25292.645
2218.0,67878.945
5491.0,10871.164
2883471.0,14068.414
1885690.0,457774.38
1013262.0,634408.56
586156.0,600982.06
517551.0,443549.47
188447.0,406572.6
144421.0,178677.95
66891.0,141592.81
54953.0,72399.7
2065.0,61303.32
2742.0,10721.48
535634.0,11383.628
431464.0,416657.72
427893.0,355168.94
176228.0,352913.88
79724.0,168544.94
1025.0,84196.234
3437.0,9703.552
502679.0,12062.995
78470.0,398094.5
57097.0,83049.52
55958.0,63304.883
24110.0,62242.01
23539.0,32087.39
23438.0,31539.066
21924.0,31442.05
21683.0,29986.748
132905.0,29754.918
18062.0,131629.19
15037.0,26265.855
13425.0,23342.742
11450.0,21781.928
9717.0,19866.695
8193.0,18183.477
6810.0,16701.197
6518.0,15354.387
5805.0,15069.829
17532.0,14374.685
354660.0,25754.26
381466.0,304476.2
1099827.0,322694.03
197779.0,619225.94
599431.0,186334.42
2071017.0,450305.0
178201.0,610721.1
1195.0,170189.39
3235262.0,9870.003
1403.0,385158.16
1494.0,10073.63
2982.0,10162.712
3128.0,11618.276
3988.0,11760.995
1243.0,12601.303
67570.0,9917.003
322087.0,73027.28
339528.0,281573.34
465658.0,293941.4
27023.0,376263.44
37046.0,34880.47
50636.0,44437.094
25890.0,57261.56
26542.0,33794.95
21331.0,34419.766
3017046.0,29416.215
20305.0,429981.3
1123.0,28428.414
1195.0,9799.515
1661.0,9870.003
2327.0,10326.158
2935.0,10977.78
3344.0,11572.327
5876.0,11972.112
6089.0,14443.933
7359.0,14651.625
7702.0,15889.217
8512.0,16223.224
21041.0,17011.625
9338.0,29137.102
13839.0,17815.033
591901.0,22182.992
574014.0,446488.78
197400.0,437257.94
160398.0,186024.86
63347.0,155235.19
77209.0,69117.88
867.0,81895.1
14772.0,9548.821
11513.0,23086.297
51664.0,19927.848
5422.0,58225.418
67336.0,14001.11
7952.0,72811.05
11564.0,16466.62
12636.0,19977.342
17315.0,21017.193
17887.0,25544.723
17948.0,26096.965
18230.0,26155.84
18677.0,26427.979
6097.0,26859.215
25507.0,14659.422
29901.0,33427.758
51465.0,37633.09
52132.0,58038.895
71396.0,58663.938
83485.0,76556.39
264643.0,87627.62
303181.0,239115.77
442574.0,267892.2
27158.0,362121.5
19779.0,35009.746
1084128.0,27921.648
2025461.0,616222.25
3223253.0,617166.6
213163.0,387592.12
167563.0,198800.84
5194.0,161284.94
622252.0,13778.657
612737.0,461620.16
713.0,456948.06
1062.0,9397.995
